SYMBOL,DESCRIPTION,IBKR SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
LCUS,LYXOR CORE US EQUITY DR UCIT,LCUS,GBP,ETF,LU,LSE
LCWL,AMUNDI MSCI WORLD V-ETF ACC,LCWL,GBP,ETF,LU,LSE
LEML,LYXOR EMERGING MARKETS,LEML,GBP,ETF,FR,LSE
LEMV,OSSIAM ERP ESG MACHINE LEARN,LEMV,GBP,ETF,LU,LSE
LIVP,UBS ETC ON CMCI LIVESTCK GBP,LIVP,GBP,ETF,CH,LSE
LSPX,AM S&P 500 II-ETF USD DIST,LSPX,GBP,ETF,LU,LSE
LUXG,AMUNDI S&P GLOBAL LUXURY,LUXG,GBP,ETF,LU,LSE
LVNG,RIZE ENVIRONMENTAL ETF,LVNG,GBP,ETF,IE,LSE
M9SV,MARKET ACCESS CHINA MIN VAR,M9SV,GBP,ETF,LU,LSE
MDBG,UBS ETF SUST DV BK BD H-GBPD,MDBG,GBP,ETF,LU,LSE
MDBU,UBS ETF SST DVL BNK BD USD-A,MDBU,GBP,ETF,LU,LSE
MEUD,AMDI STOXX EUROPE 600 ACC,MEUD,GBP,ETF,LU,LSE
MEUG,AMUNDI MSCI EUROPE,MEUG,GBP,ETF,FR,LSE
MFDD,AMUNDI MSCI EMU ESG NZERO IN,MFDD,GBP,ETF,LU,LSE
MFEX,AMUNDI MSCI EMU-ETF DIST,MFEX,GBP,ETF,LU,LSE
MIBX,AMUNDI FTSE MIB UCITS ETF,MIBX,GBP,ETF,FR,LSE
MILL,LYXOR MSCI MILLENIALS ESG,MILL,GBP,ETF,LU,LSE
MIVO,AMUNDI MSCI ERP MIN VOLAT,MIVO,GBP,ETF,LU,LSE
MPXG,AM I MSCI PAC EX J SRI PAB D,MPXG,GBP,ETF,LU,LSE
MSDG,AMUNDI MSCI EMER MKT SRI P-D,MSDG,GBP,ETF,LU,LSE
MSED,AMUNDI EURO STOXX 50 ETF DR,MSED,GBP,ETF,LU,LSE
MSEX,AMI E ST50 IIUCITS ETF-GHEGA,MSEX,GBP,ETF,FR,LSE
MSRG,AMUNDI MSCI EMER MKT SRI PAB,MSRG,GBP,ETF,LU,LSE
MTIX,AM EU GOV INF LNK BD-ETF ACC,MTIX,GBP,ETF,LU,LSE
MTXX,AMUN EURO GOV BD - UCITS ETF,MTXX,GBP,ETF,LU,LSE
NASL,AMUNDI NASDAQ-100 II-ETF A,NASL,GBP,ETF,LU,LSE
NGAG,UBS ETC ON CMCI NAT GAS GBP,NGAG,GBP,ETF,CH,LSE
NGSP,WT NATURAL GAS,NGSP,GBP,ETF,JE,LSE
NRJL,AMUNDI MSCI NEW ENERGY ESG,NRJL,GBP,ETF,FR,LSE
OIL2,WT WTI CRUDE 2X DLY LVRGD,OIL2,GBP,ETF,JE,LSE
OILG,UBS ETC ON CMCI WTI MLY GBP,OILG,GBP,ETF,CH,LSE
PABG,AM S&P EZONE N ZERO AM-ETF A,PABG,GBP,ETF,LU,LSE
PAXG,AM MSCI PACIFIC EX JPN-ETF D,PAXG,GBP,ETF,LU,LSE
PAYG,RIZE DIGITAL PAYMENTS ETF,PAYG,GBP,ETF,IE,LSE
PBRT,WT BRENT CRUDE - GBP DLY HDG,PBRT,GBP,ETF,JE,LSE
PCRD,WT WTI CRUDE - GBP DLY HDG,PCRD,GBP,ETF,JE,LSE
PHGP,WISDOMTREE PHYSICAL GOLD,PHGP,GBP,ETF,JE,LSE
PHPP,WT PHYSICAL PRECIOUS METALS,PHPP,GBP,ETF,JE,LSE
PHSP,WT PHYSICAL SILVER,PHSP,GBP,ETF,JE,LSE
PIMT,WT INDUS METALS-GBP DLY HDG,PIMT,GBP,ETF,JE,LSE
PPDX,WT PHYSICAL PALLADIUM,PPDX,GBP,ETF,JE,LSE
PPTX,WT PHYSICAL PLATINUM,PPTX,GBP,ETF,JE,LSE
PRIC,AMUNDI EUR CORPORATE BOND DI,PRIC,GBP,ETF,LU,LSE
PRIE,AMUNDI PRI EUR UCITS ETF DR,PRIE,GBP,ETF,LU,LSE
PRIG,AMUNDI PRI GLB GOV B ETF-DIS,PRIG,GBP,ETF,LU,LSE
PRIJ,AMUNDI PRI JPN UCITS ETF DR,PRIJ,GBP,ETF,LU,LSE
PRIP,AMUNDI PRI US CORP UCITS,PRIP,GBP,ETF,LU,LSE
PRIR,AMUNDI PRI EUR GOVT UCITS DR,PRIR,GBP,ETF,LU,LSE
PRIT,AMUNDI PRI US TRES UCITS DR,PRIT,GBP,ETF,LU,LSE
PRIW,AMUNDI PRI GBL UCITS ETF DR,PRIW,GBP,ETF,LU,LSE
PRIZ,AMUNDI PRI EURZ UCITS ETF DR,PRIZ,GBP,ETF,LU,LSE
PRMG,UBS ETC CMCI PREC MTLS GBP,PRMG,GBP,ETF,CH,LSE
PRUB,AMUNDI PRIME US CORPORATES,PRUB,GBP,ETF,LU,LSE
PRUK,AM PRIM UK MID AND SMALL CAP,PRUK,GBP,ETF,LU,LSE
PUS3,WT SHORT USD LONG GBP 3X DLY,PUS3,GBP,ETF,JE,LSE
RICI,MARKET ACCESS RGR INTL CMDTY,RICI,GBP,ETF,LU,LSE
RIOL,AMUNDI MSCI BRAZIL-ETF ACC,RIOL,GBP,ETF,LU,LSE
RS2G,AMUNDI RUSSELL 2000 UCITS ET,RS2G,GBP,ETF,LU,LSE
RSGL,AMUND RUSSELL 1000 GROWTH,RSGL,GBP,ETF,FR,LSE
RUSL,LYXOR MSCI RUSSIA,RUSL,GBP,ETF,LU,LSE
S2HGBA,UBS ETF MSCI SWITZ.H.GBP ACC,UC93,GBP,ETF,LU,LSE
S2HGBD,UBS ETF MSCI SWITZ.H.GBP,UC94,GBP,ETF,LU,LSE
S5SD,UBS ETF S&P 500 ESG USD DIS,S5SD,GBP,ETF,IE,LSE
SBEM,UBS ETF USD EM SOVEREIGN,SBEM,GBP,ETF,LU,LSE
SBEMH,UBS ETF USD EM SOVEREIGN GBP,SBEG,GBP,ETF,LU,LSE
SEMC,UBS ETF JPM USD EM DIV 1-5,SEMC,GBP,ETF,LU,LSE
SEMG,AMUNDI MSCI SEMICONDUCTORS E,SEMG,GBP,ETF,LU,LSE
SGBX,WT PHYSICAL SWISS GOLD,SGBX,GBP,ETF,JE,LSE
SGQL,AM GLOB EQ QUALITY INC-ETF A,SGQL,GBP,ETF,LU,LSE
SGQX,AM GL EQ QUAL INC-ETF GBP HA,SGQX,GBP,ETF,LU,LSE
SHEMG,UBS ETF JPM USD EM DIV 1-5GD,UBXX,GBP,ETF,LU,LSE
SILP,UBS ETC ON CMCI SILVER GBP,SILP,GBP,ETF,CH,LSE
SP500H,UBS ETF S&P 500 H GBP A-DIS,USPG,GBP,ETF,IE,LSE
SP5G,AM S&P 500 II-ETF GBP HD,SP5G,GBP,ETF,LU,LSE
SP5L,AM S&P 500 II-ETF ACC,SP5L,GBP,ETF,LU,LSE
SPDA,UBS ETF USA DIV AR ESG USD D,SPDA,GBP,ETF,IE,LSE
SRHE,AMUN MSCI EMU SRI PAB-C,SRHE,GBP,ETF,LU,LSE
SRIU,UBS ETF MSCI USA SRI USD DIS,SRIU,GBP,ETF,IE,LSE
SRIW,UBS ETF MSCIW SRI USD DIS,SRIW,GBP,ETF,IE,LSE
SRUG,UBS ETF MSCI USA SRI H.GBP D,SRUG,GBP,ETF,IE,LSE
SRWG,UBS ETF MSCIW SRI H.GBP DIS,SRWG,GBP,ETF,IE,LSE
STPH,LYXOR US CURVE STEEP 2-10,STPH,GBP,ETF,LU,LSE
SUP3,WT SHORT EUR LONG GBP 3X DLY,SUP3,GBP,ETF,JE,LSE
T10G,UBS ETF BBG TIPS 10+ HGBP,T10G,GBP,ETF,LU,LSE
TDGB,VANECK DEV MKT DVD LEADERS,TDGB,GBP,ETF,NL,LSE
TEGB,VANECK SUSTAINABLE EUROPEAN,TEGB,GBP,ETF,NL,LSE
TIPG,AM US T GOV INF-LNK BD-ETF A,TIPG,GBP,ETF,LU,LSE
TIPH,AM UST GOV IN-LK BD-ETF GHD,TIPH,GBP,ETF,LU,LSE
TPHG,AMUNDI JAP TOPIX UC-GBP,TPHG,GBP,ETF,LU,LSE
TPXG,AMUNDI JAP TOPIX UC-JPY,TPXG,GBP,ETF,LU,LSE
TREG,VANECK GLB REAL ESTATE ETF,TREG,GBP,ETF,NL,LSE
TSGB,VANECK SUST WLD EQ WT ETF,TSGB,GBP,ETF,NL,LSE
U10G,AM US T BOND LONG D-ETF DIST,U10G,GBP,ETF,LU,LSE
U13E,AMUNDI US TREASURY BOND 1-3Y,U13E,GBP,ETF,LU,LSE
U13G,AMUNDI US TREASURY BOND 1-3Y,U13G,GBP,ETF,LU,LSE
U37G,AMUNDI US TREASURY BOND 3-7Y,U37G,GBP,ETF,LU,LSE
U37H,AMUNDI US TREASURY BOND 3-7Y,U37H,GBP,ETF,LU,LSE
U71G,AMUNDI US TREASURY BOND 7-10,U71G,GBP,ETF,LU,LSE
U71H,AMUNDI US TREASURY BOND 7-10,U71H,GBP,ETF,LU,LSE
UB01,UBS ETF EURO STOXX 50,UB01,GBP,ETF,LU,LSE
UB02,UBS ETF MSCI JAPAN,UB02,GBP,ETF,LU,LSE
UB06,UBS ETF MSCI EMU UCITS ETF,UB06,GBP,ETF,LU,LSE
UB12,UBS ETF MSCI EUROPE,UB12,GBP,ETF,LU,LSE
UB17,UBS ETF MSCI EMU VALUE,UB17,GBP,ETF,LU,LSE
UB20,UBS ETF MSCI PACIFIC EX JPN,UB20,GBP,ETF,LU,LSE
UB23,UBS ETF MSCI CANADA,UB23,GBP,ETF,LU,LSE
UB32,UBS ETF MSCI EMERG. MARKETS,UB32,GBP,ETF,LU,LSE
UB39,UBS ETF MSCI EMU SRI,UB39,GBP,ETF,LU,LSE
UB45,UBS ETF MSCI PACIFIC SRI DIS,UB45,GBP,ETF,LU,LSE
UB69,UBS ETF MSCI EMU SMALL CAP U,UB69,GBP,ETF,LU,LSE
UB74,UBS ETF BBG. CAP. US TR. 1-3,UB74,GBP,ETF,LU,LSE
UB82,UBS ETF BBG. CA. US TR. 7-10,UB82,GBP,ETF,LU,LSE
UBIF,UBS ETF EURO INFL LINK 1-10,UBIF,GBP,ETF,LU,LSE
UBTL,UBS ETF BBG TIPS 10+ USD,UBTL,GBP,ETF,LU,LSE
UBTP,UBS ETF BBG TIPS 1-10 H.GBP,UBTP,GBP,ETF,LU,LSE
UBTS,UBS ETF BBG TIPS 1-10 USD,UBTS,GBP,ETF,LU,LSE
UC04,UBS ETF MSCI USA DIS,UC04,GBP,ETF,IE,LSE
UC07,UBS ETF MSCI USA VALUE,UC07,GBP,ETF,IE,LSE
UC13,UBS ETF S&P 500,UC13,GBP,ETF,IE,LSE
UC15,UBS ETF CMCI COMPOS. USD,UC15,GBP,ETF,IE,LSE
UC44,UBS ETF MSCI WORLD SRI,UC44,GBP,ETF,LU,LSE
UC46,UBS ETF MSCI USA SRI UCITS,UC46,GBP,ETF,LU,LSE
UC48,UBS ETF MSCI AC ASIA EX JPN,UC48,GBP,ETF,IE,LSE
UC55,UBS ETF MSCI WORLD,UC55,GBP,ETF,LU,LSE
UC79,UBS ETF MSCI EMERG. MAR. SRI,UC79,GBP,ETF,LU,LSE
UC81,UBS ETF B. US LIQ. CORP. 1-5,UC81,GBP,ETF,LU,LSE
UC82,UBS ETF US L. C. H. GBP 1-5,UC82,GBP,ETF,LU,LSE
UC84,UBS ETF BBG. US LIQ. CORP.,UC84,GBP,ETF,LU,LSE
UC85,UBS ETF B. US LQ. C. H. GBP,UC85,GBP,ETF,LU,LSE
UC95,UBS ETF FACTOR LOW VOLATLY,UC95,GBP,ETF,IE,LSE
UC96,UBSETF FACTOR USA PV ESG,UC96,GBP,ETF,IE,LSE
UC98,UBS ETF BBG US LIQ. C. SUST,UC98,GBP,ETF,LU,LSE
UC99,UBS ETF FACTOR USA QUALITY,UC99,GBP,ETF,IE,LSE
UCRP,AMUNDI US CORP SRI UCITS ETF,UCRP,GBP,ETF,LU,LSE
UD02,UBS ETF FACTOR EMU LOW VOLTL,UD02,GBP,ETF,LU,LSE
UD03,UBS ETF FACTOR EMU PR VL ESG,UD03,GBP,ETF,LU,LSE
UD04,UBS ETF FACTOR EMU QUAL ESG,UD04,GBP,ETF,LU,LSE
UD07,UBS ETF BBG COMM CMCI USD,UD07,GBP,ETF,IE,LSE
UEQ3,UBS ETF CMCI COMPOS. H. GBP,UC90,GBP,ETF,IE,LSE
UH10,AM UST BD LG DT-ETF GBP HD,UH10,GBP,ETF,LU,LSE
UHYG,AMUNDI USD HI YLD CP BD ESG,UHYG,GBP,ETF,LU,LSE
UKGBPA,UBS ETF MSCI UNITED KINGDOM,UC63,GBP,ETF,LU,LSE
UKGBPB,UBS ETF MSCI UNITED KINGDOM,UC64,GBP,ETF,LU,LSE
UKSR,UBS ETF MSCI UK IMI SRI,UKSR,GBP,ETF,IE,LSE
UPVLH,UBSETF FACTOR USA PV H GBP D,UPVL,GBP,ETF,IE,LSE
UQLTH,UBSETF FACTOR USA QU H GBP D,UQLT,GBP,ETF,IE,LSE
URGB,WT SHORT EUR LONG GBP,URGB,GBP,ETF,JE,LSE
USFM,UBSETF MSCI USA SEL.FACT.MIX,USFM,GBP,ETF,IE,LSE
USGB,WT SHORT USD LONG GBP,USGB,GBP,ETF,JE,LSE
USGBPA,UBS ETF MSCI USA H.GBP A ACC,UB0A,GBP,ETF,IE,LSE
USIX,AMDI USD CORP PAB NZERO INC,USIX,GBP,ETF,LU,LSE
USP3,WT LONG USD SHORT GBP 3X DLY,USP3,GBP,ETF,JE,LSE
UVNG,RIZE USA ENVIRONMENT ETF,UVNG,GBP,ETF,IE,LSE
WATL,AMUND MSCI WATER ESG SCREEN,WATL,GBP,ETF,FR,LSE
WCCP,WISDOMTREE CALIFORNIA CARBON,WCCP,GBP,ETF,JE,LSE
WEAP,WT WHEAT,WEAP,GBP,ETF,JE,LSE
WETP,WISDOMTREE PHYSICAL ETHEREUM,WETP,GBP,ETF,JE,LSE
WLDL,AMUNDI MSCI WORLD,WLDL,GBP,ETF,FR,LSE
WXBT,WISDOMTREE PHYSICAL BITCOIN,WXBT,GBP,ETF,JE,LSE
XCO2,AM GL AGG G BD 1-10Y-ETF A,XCO2,GBP,ETF,LU,LSE
XCOG,AM GL AGG G BD 1-10Y-ETF GHD,XCOG,GBP,ETF,LU,LSE
XGDG,X IE PHYSICAL GOLD ETC GBP,XGDG,GBP,ETF,IE,LSE
XGLS,XTRACKER GOLD ETC GBP HDG,XGLS,GBP,ETF,JE,LSE
